case,2023-10-20T23:30:34.755742,2023-10-21T00:38:13.160663,2023-10-21T00:42:49.956543,2023-10-21T00:50:08.428110,2023-10-21T01:17:21.760157,2023-10-21T01:21:32.438044,2023-10-21T01:50:36.630387,2023-10-21T01:54:26.281402,2023-10-21T01:57:51.652721,2023-10-21T02:01:48.867771,2023-10-21T02:05:03.877950,2023-10-21T02:14:35.367278,2023-10-21T02:18:43.473352,2023-10-21T02:20:40.484872,2023-10-21T02:22:41.002817,2023-10-21T10:31:06.980853,2023-10-21T10:34:36.903757,2023-10-21T10:36:26.601112,2023-10-21T10:38:10.737221,2023-10-21T10:40:09.883808,2023-10-21T10:59:16.680439,2023-10-21T11:01:53.521567,2023-10-21T11:04:01.328806,2023-10-21T11:06:37.147415,2023-10-21T11:09:24.767237,2023-10-21T11:12:29.737628,2023-10-21T11:14:48.765113,2023-10-21T11:33:17.839442,2023-10-21T11:45:56.215101,2023-10-21T11:48:29.697132,2023-10-21T11:51:51.357325,2023-10-21T11:54:56.600191,2023-10-21T13:53:18.558109,2023-10-21T14:46:49.321917,2023-10-21T15:29:00.068713,2023-10-21T15:59:28.617047,2023-10-21T16:04:08.523130,2023-10-21T16:27:26.583949
0000.txt,60951,60951,60951,25689151,60951,23341651,18751,11551,48851,124551,48851,1227651,1054251,1227651,1227651,1227651,1054251,1227651,1227651,1227651,1227651,1227651,1227651,1227651,1227651,1227651,1227651,3626251,10518351,1130551,1130551,1130551,1130551,1130551,1130551,1130551.0,1130551.0,1130551.0
0001.txt,572417,812210,572021,49789425,812075,35957198,1284052,1279924,374061,112317,573079,115014,86439,738869,115014,115014,71780,113775,578199,115014,115014,115014,115014,115014,115014,115014,115014,1115861,8730683,468321,468321,468321,738344,468321,468321,468321.0,468321.0,468321.0
0002.txt,294141,153341,294141,68637577,294141,294141,54612,322153,193525,360954,112294,211674,264622,243366,211674,211674,113664,62350,334718,211674,211674,211674,211674,211674,211674,211674,211674,211674,18819078,117916,117916,117916,117916,117916,117916,117916.0,117916.0,117916.0
0003.txt,1848773,1848773,2882519,43152900,1848773,41381218,659091,290095,1124280,604000,626795,225925,460152,196781,152892,152892,59164,241710,241574,225925,225925,225925,152892,152892,152892,183613,152892,225925,14427310,254922,254922,254922,300672,254922,254922,254922.0,259602.0,254922.0
0004.txt,1546243,1544119,1546243,50524074,1546243,22193162,6499030,6486565,1632867,2084138,1059387,1120893,1981693,1758465,1120893,1120893,2280736,1120893,887944,1120893,1120893,1120893,1120893,1120893,1120893,1120893,1120893,887944,1887973,4455300,4455300,4455300,4677208,4455300,4455748,4455748.0,4455748.0,4455748.0
0005.txt,772073,1954289,1888707,38238448,772073,10590446,2295505,7257561,4760577,6901137,2933574,2829708,2775452,3623363,1432632,2829708,1432632,1435775,1435775,2829708,1432632,2829708,2829708,2829708,1432632,2829708,2829708,2829708,4118925,1929354,1929354,1929354,2056838,1929354,1929354,1929354.0,1929354.0,1929354.0
0006.txt,19501,19501,19501,31872101,19501,29768301,59501,3001,37401,5901,1601,4901,34501,54101,4901,4901,61701,54101,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,118901,53301,53301,53301,53301,53301,53301,53301.0,53301.0,53301.0
0007.txt,433208,513078,513078,41373041,433208,25723647,189160,5736750,435863,508084,3952499,3530684,1646265,351558,3530684,3530684,3530684,2035367,2035367,3530684,3530684,3530684,3530684,3530684,3530684,3530684,3530684,5802551,4294438,111958,111958,111958,135650,111958,111958,111958.0,111958.0,111958.0
0008.txt,980563,980563,980563,17729383,980563,26205882,2002912,1727836,1757780,1368560,1033142,1518458,1230150,1049228,1518458,1518458,1230150,1037085,1518458,1518458,1518458,1748102,1518458,1518458,1518458,1518458,1518458,1518458,3053163,930918,971711,930918,930918,930918,930918,930918.0,930918.0,930918.0
0009.txt,2437450,4566249,4566249,33664097,2437450,17641728,564369,1471908,821506,1465084,1436833,826358,1812195,874358,826358,1785810,841334,874948,1901548,1785810,1795243,2195152,1481645,1481645,1481645,1785810,1488191,1481645,5860620,1745064,1745064,1745064,2814722,1745064,1745064,1745064.0,1745064.0,1745064.0
0010.txt,803882,935296,935296,44214145,803882,27409426,759419,467302,1556138,679300,770233,350465,2898252,640668,350465,350465,1066724,758193,508166,350465,350465,350465,350465,350465,350465,350465,350465,350465,1291386,386023,386023,386023,400374,386023,386023,386023.0,386023.0,386023.0
0011.txt,3445509,3575493,4021122,37639993,3445509,15836988,1618877,2686390,2772149,2418777,1160931,2699958,3370108,892736,2699958,2699958,2046171,3373000,3399955,2699958,2699958,2699184,2699958,2699958,2699958,2699958,2699958,2699958,1544675,1506387,1506387,1506387,2298943,1506387,1506387,1506387.0,1506387.0,1506387.0
0012.txt,1968712,1489499,1483282,59199890,1254460,22649776,1580961,677140,1427127,821256,2124436,1173125,1181878,1305761,1173125,1173125,718402,1173475,632401,1173125,1340934,2334903,1523096,1523096,1523096,1538568,1523096,1065408,13733117,1675445,1675445,1675445,1737309,1675445,1680686,1829174.0,1800279.0,1677271.0
0013.txt,1060141,3606608,1902064,32873445,1060141,12861987,1470865,1602302,964042,807178,993450,631695,665049,981024,2120172,1314628,2902684,883200,883200,1314628,1314628,1471433,1314628,1314628,1314628,1314628,1314628,1314628,2212615,1064258,1064258,1064258,1542553,1064258,1081867,1081867.0,1081867.0,1081867.0
0014.txt,1561557,1561557,1561557,22479834,1561557,15262128,1694229,3093842,838876,3506977,1524666,1042085,829506,765862,1042085,1042085,1472423,817474,801743,1042085,1011273,1099904,1028772,1011273,1031803,1042085,1042085,1031803,4504873,2537391,2537391,2537391,2376699,2537391,2537391,2537391.0,2537391.0,2537391.0
0015.txt,1527051,1306697,1527051,32286939,1306697,1674201,7494948,3148438,13605441,2093171,1413804,1157000,2374539,964846,1157000,1157000,1178258,1165428,1165428,1157000,1157000,1157000,1157000,1157000,1157000,1157000,1157000,1238990,6665705,2685087,2685087,2685087,3844651,2456540,2456540,2456540.0,2456540.0,2456540.0
0016.txt,1959100,697518,116268,56584598,1959100,60005487,248105,115803,184255,1345347,176320,673988,5466004,659761,673988,673988,1639681,659761,711100,673988,673988,673988,673988,673988,673988,673988,673988,673988,4747745,343374,343374,343374,411224,343374,693942,693942.0,693942.0,693942.0
0017.txt,15948950,5251548,5251548,32049494,15948950,24731160,4467603,7728398,5427629,13949228,8248985,2095560,1293039,1327974,2095560,2095560,2095560,1327974,2095560,2095560,2095560,2095560,2095560,2095560,2095560,2095560,2095560,4627369,3769339,2228353,2228353,2228353,2228353,2228353,2228353,2228353.0,2228353.0,2228353.0
0018.txt,391490,391490,711429,57785222,391490,391490,6037987,2640984,791250,994347,1035691,371320,407014,136508,371320,371320,231031,404102,945404,371320,371320,371320,371320,371320,371320,371320,371320,371320,2806570,464419,464419,464419,752469,464419,464419,464419.0,464419.0,464419.0
0019.txt,852486,852486,2884730,54782901,852486,26936799,1261786,1478319,702933,1110234,244393,472305,843646,725675,472305,472305,551158,729353,286257,472305,472305,446715,472305,472305,472305,472305,446715,472305,10891024,1605780,1605780,1605780,2581171,1605780,1608748,1984564.0,2102787.0,1605780.0
0020.txt,1263345,563305,2405002,51188194,563305,13506531,463382,1424960,545515,877724,886877,1374857,619392,1875231,1374857,1777069,1381207,1814562,1530019,1777069,1777069,2074475,1777069,1777069,1777069,1777069,1777069,1777069,7860360,954523,954523,954523,1341237,954523,961270,961270.0,984632.0,960609.0
0021.txt,864356,864356,864356,48545849,864356,14449657,382837,1906718,1029018,796886,323940,1862873,1560969,2667890,2619469,899931,627685,1184787,1556603,680660,1024896,1148281,899931,899931,2583913,2583913,2583913,899931,1774429,1998321,1998321,1998321,2710202,1998321,2003821,2110598.0,2230448.0,1998321.0
0022.txt,248751,248751,248751,78706651,248751,49997651,90051,281151,233451,275151,386251,239451,626951,332951,239451,239451,440751,22751,451,239451,239451,239451,239451,239451,239451,239451,239451,239451,12519651,612951,612951,612951,612951,612951,612951,612951.0,612951.0,612951.0
0023.txt,711686,711686,711686,35511468,711686,22619079,520553,591726,618448,150587,613571,571717,413957,607342,457453,457453,324679,411381,645220,571717,457453,457453,457453,457453,457453,571717,457453,457453,1519476,484800,484800,484800,611783,484800,484800,484800.0,484800.0,484800.0
0024.txt,1440638,1773239,1773239,52013662,1440638,30108206,1833959,2397230,1274111,817982,1124268,541543,263726,843497,541543,541543,1220906,272655,604420,541543,541454,541454,541543,541454,541543,541543,541543,541543,5586700,1837674,1837674,1837674,2318193,1837674,1839520,1929287.0,2396865.0,1837674.0
